Px,Py,Pz,Vx,Vy,Vz,Tx,Ty,Tz,R_bubble,Watts
0.2786,0.0,0.0,0.0058186773999964,0.0,0.0,0.0,0.0,0.0,2.139133122229474,1500000000.0
0.2844,0.0,0.0,0.005937425918363675,0.0,0.0,0.0,0.0,0.0,2.096350459784884,1500000000.0
0.2905,0.0,0.0,0.0060585978758813,0.0,0.0,0.0,0.0,0.0,2.0544234505891863,1500000000.0
0.2966,0.0,0.0,0.006182242730491124,0.0,0.0,0.0,0.0,0.0,2.0133349815774024,1500000000.0
0.303,0.0,0.0,0.006308410949480738,0.0,0.0,0.0,0.0,0.0,1.9730682819458543,1500000000.0
0.3093,0.0,0.0,0.006437154030082387,0.0,0.0,0.0,0.0,0.0,1.9336069163069372,1500000000.0
0.316,0.0,0.0,0.006568524520492231,0.0,0.0,0.0,0.0,0.0,1.8949347779807983,1500000000.0
0.3225,0.0,0.0,0.006702576041318603,0.0,0.0,0.0,0.0,0.0,1.8570360824211825,1500000000.0
0.3293,0.0,0.0,0.006839363307467962,0.0,0.0,0.0,0.0,0.0,1.8198953607727588,1500000000.0
0.3364,0.0,0.0,0.0069789421504775125,0.0,0.0,0.0,0.0,0.0,1.7834974535573036,1500000000.0
0.3435,0.0,0.0,0.007121369541303584,0.0,0.0,0.0,0.0,0.0,1.7478275044861575,1500000000.0
0.3508,0.0,0.0,0.007266703613575087,0.0,0.0,0.0,0.0,0.0,1.7128709543964344,1500000000.0
0.3582,0.0,0.0,0.007415003687321517,0.0,0.0,0.0,0.0,0.0,1.6786135353085057,1500000000.0
0.3657,0.0,0.0,0.007566330293185221,0.0,0.0,0.0,0.0,0.0,1.6450412646023356,1500000000.0
0.3735,0.0,0.0,0.007720745197127777,0.0,0.0,0.0,0.0,0.0,1.612140439310289,1500000000.0
0.3813,0.0,0.0,0.007878311425640588,0.0,0.0,0.0,0.0,0.0,1.579897630524083,1500000000.0
0.3894,0.0,0.0,0.008039093291469988,0.0,0.0,0.0,0.0,0.0,1.5482996779136013,1500000000.0
0.3977,0.0,0.0,0.008203156419867335,0.0,0.0,0.0,0.0,0.0,1.5173336843553293,1500000000.0
0.406,0.0,0.0,0.008370567775374833,0.0,0.0,0.0,0.0,0.0,1.4869870106682228,1500000000.0
0.4146,0.0,0.0,0.008541395689157991,0.0,0.0,0.0,0.0,0.0,1.4572472704548582,1500000000.0
0.4233,0.0,0.0,0.00871570988689591,0.0,0.0,0.0,0.0,0.0,1.428102325045761,1500000000.0
0.4321,0.0,0.0,0.008893581517240725,0.0,0.0,0.0,0.0,0.0,1.3995402785448456,1500000000.0
0.4412,0.0,0.0,0.009075083180857882,0.0,0.0,0.0,0.0,0.0,1.3715494729739488,1500000000.0
0.4504,0.0,0.0,0.009260288960059065,0.0,0.0,0.0,0.0,0.0,1.3441184835144697,1500000000.0
0.46,0.0,0.0,0.009449274449039861,0.0,0.0,0.0,0.0,0.0,1.3172361138441804,1500000000.0
0.4697,0.0,0.0,0.009642116784734553,0.0,0.0,0.0,0.0,0.0,1.2908913915672968,1500000000.0
0.4795,0.0,0.0,0.009838894678300564,0.0,0.0,0.0,0.0,0.0,1.265073563735951,1500000000.0
0.4895,0.0,0.0,0.010039688447245473,0.0,0.0,0.0,0.0,0.0,1.2397720924612319,1500000000.0
0.4998,0.0,0.0,0.010244580048209667,0.0,0.0,0.0,0.0,0.0,1.2149766506120072,1500000000.0
0.5103,0.0,0.0,0.01045365311041803,0.0,0.0,0.0,0.0,0.0,1.190677117599767,1500000000.0
0.521,0.0,0.0,0.010666992969814314,0.0,0.0,0.0,0.0,0.0,1.1668635752477716,1500000000.0
0.5317,0.0,0.0,0.010884686703892157,0.0,0.0,0.0,0.0,0.0,1.1435263037428163,1500000000.0
0.543,0.0,0.0,0.011106823167236893,0.0,0.0,0.0,0.0,0.0,1.12065577766796,1500000000.0
0.554,0.0,0.0,0.011333493027792749,0.0,0.0,0.0,0.0,0.0,1.0982426621146009,1500000000.0
0.566,0.0,0.0,0.011564788803870152,0.0,0.0,0.0,0.0,0.0,1.0762778088723088,1500000000.0
0.5776,0.0,0.0,0.011800804901908317,0.0,0.0,0.0,0.0,0.0,1.0547522526948627,1500000000.0
0.59,0.0,0.0,0.01204163765500849,0.0,0.0,0.0,0.0,0.0,1.0336572076409654,1500000000.0
0.602,0.0,0.0,0.01228738536225356,0.0,0.0,0.0,0.0,0.0,1.012984063488146,1500000000.0
0.6147,0.0,0.0,0.012538148328830165,0.0,0.0,0.0,0.0,0.0,0.992724382218383,1500000000.0
0.6274,0.0,0.0,0.012794028906969556,0.0,0.0,0.0,0.0,0.0,0.9728698945740153,1500000000.0
0.6406,0.0,0.0,0.013055131537724038,0.0,0.0,0.0,0.0,0.0,0.9534124966825349,1500000000.0
0.654,0.0,0.0,0.013321562793595957,0.0,0.0,0.0,0.0,0.0,0.9343442467488842,1500000000.0
0.6675,0.0,0.0,0.013593431422036692,0.0,0.0,0.0,0.0,0.0,0.9156573618139064,1500000000.0
0.681,0.0,0.0,0.01387084838983336,0.0,0.0,0.0,0.0,0.0,0.8973442145776283,1500000000.0
0.6953,0.0,0.0,0.014153926928401388,0.0,0.0,0.0,0.0,0.0,0.8793973302860757,1500000000.0
0.71,0.0,0.0,0.014442782580001414,0.0,0.0,0.0,0.0,0.0,0.8618093836803542,1500000000.0
0.7246,0.0,0.0,0.014737533244899407,0.0,0.0,0.0,0.0,0.0,0.8445731960067471,1500000000.0
0.7397,0.0,0.0,0.015038299229489188,0.0,0.0,0.0,0.0,0.0,0.8276817320866121,1500000000.0
0.755,0.0,0.0,0.015345203295397132,0.0,0.0,0.0,0.0,0.0,0.8111280974448799,1500000000.0
0.7705,0.0,0.0,0.01565837070958891,0.0,0.0,0.0,0.0,0.0,0.7949055354959823,1500000000.0
0.7866,0.0,0.0,0.015977929295498888,0.0,0.0,0.0,0.0,0.0,0.7790074247860627,1500000000.0
0.8027,0.0,0.0,0.01630400948520295,0.0,0.0,0.0,0.0,0.0,0.7634272762903414,1500000000.0
0.8193,0.0,0.0,0.016636744372656068,0.0,0.0,0.0,0.0,0.0,0.7481587307645345,1500000000.0
0.8364,0.0,0.0,0.0169762697680164,0.0,0.0,0.0,0.0,0.0,0.7331955561492438,1500000000.0
0.8535,0.0,0.0,0.01732272425307796,0.0,0.0,0.0,0.0,0.0,0.7185316450262589,1500000000.0
0.871,0.0,0.0,0.017676249237834653,0.0,0.0,0.0,0.0,0.0,0.7041610121257337,1500000000.0
0.889,0.0,0.0,0.018036989018198623,0.0,0.0,0.0,0.0,0.0,0.6900777918832189,1500000000.0
0.9077,0.0,0.0,0.018405090834896557,0.0,0.0,0.0,0.0,0.0,0.6762762360455545,1500000000.0
0.9263,0.0,0.0,0.018780704933567913,0.0,0.0,0.0,0.0,0.0,0.6627507113246435,1500000000.0
0.9453,0.0,0.0,0.01916398462608971,0.0,0.0,0.0,0.0,0.0,0.6494956970981506,1500000000.0
0.965,0.0,0.0,0.019555086353152767,0.0,0.0,0.0,0.0,0.0,0.6365057831561876,1500000000.0
0.985,0.0,0.0,0.019954169748115067,0.0,0.0,0.0,0.0,0.0,0.6237756674930638,1500000000.0
1.005,0.0,0.0,0.02036139770215823,0.0,0.0,0.0,0.0,0.0,0.6113001541432025,1500000000.0
1.025,0.0,0.0,0.020776936430773704,0.0,0.0,0.0,0.0,0.0,0.5990741510603385,1500000000.0
1.047,0.0,0.0,0.021200955541605823,0.0,0.0,0.0,0.0,0.0,0.5870926680391316,1500000000.0
1.068,0.0,0.0,0.02163362810367941,0.0,0.0,0.0,0.0,0.0,0.575350814678349,1500000000.0
1.091,0.0,0.0,0.022075130718040216,0.0,0.0,0.0,0.0,0.0,0.563843798384782,1500000000.0
1.113,0.0,0.0,0.022525643589836955,0.0,0.0,0.0,0.0,0.0,0.5525669224170864,1500000000.0
1.137,0.0,0.0,0.02298535060187444,0.0,0.0,0.0,0.0,0.0,0.5415155839687447,1500000000.0
1.16,0.0,0.0,0.0234544393896678,0.0,0.0,0.0,0.0,0.0,0.5306852722893698,1500000000.0
1.184,0.0,0.0,0.02393310141802837,0.0,0.0,0.0,0.0,0.0,0.5200715668435824,1500000000.0
1.208,0.0,0.0,0.024421532059212624,0.0,0.0,0.0,0.0,0.0,0.5096701355067107,1500000000.0
1.233,0.0,0.0,0.024919930672665944,0.0,0.0,0.0,0.0,0.0,0.49947673279657645,1500000000.0
1.259,0.0,0.0,0.02542850068639382,0.0,0.0,0.0,0.0,0.0,0.4894871981406449,1500000000.0
1.285,0.0,0.0,0.025947449679993694,0.0,0.0,0.0,0.0,0.0,0.479697454177832,1500000000.0
1.312,0.0,0.0,0.026476989469381318,0.0,0.0,0.0,0.0,0.0,0.47010350509427534,1500000000.0
1.339,0.0,0.0,0.027017336193246245,0.0,0.0,0.0,0.0,0.0,0.4607014349923898,1500000000.0
1.366,0.0,0.0,0.027568710401271686,0.0,0.0,0.0,0.0,0.0,0.45148740629254197,1500000000.0
1.395,0.0,0.0,0.028131337144154778,0.0,0.0,0.0,0.0,0.0,0.44245765816669114,1500000000.0
1.423,0.0,0.0,0.02870544606546406,0.0,0.0,0.0,0.0,0.0,0.4336085050033573,1500000000.0
1.452,0.0,0.0,0.029291271495371494,0.0,0.0,0.0,0.0,0.0,0.42493633490329014,1500000000.0
1.482,0.0,0.0,0.029889052546297437,0.0,0.0,0.0,0.0,0.0,0.41643760820522435,1500000000.0
1.513,0.0,0.0,0.03049903321050759,0.0,0.0,0.0,0.0,0.0,0.40810885604111985,1500000000.0
1.544,0.0,0.0,0.031121462459701623,0.0,0.0,0.0,0.0,0.0,0.39994667892029745,1500000000.0
1.576,0.0,0.0,0.03175659434663432,0.0,0.0,0.0,0.0,0.0,0.3919477453418915,1500000000.0
